abv,image,name,official_content,origin,url,winery,year
53.9%,https://ip.distiller.com/images/spirits/a2fd4c90-7bf1-0133-e87d-6a913c28256d/bowmore_single_malt_mizunara_cask_finish_whisky_tile.jpg?1449244607,Bowmore Mizunara Cask Finish,"This is the first-ever official Islay single malt Scotch to be finished in Japanese Mizunara oak casks. Only 2,000 bottles of this east-meet-west collaboration were produced, since precious few Mizunara oak casks are built, and allotted exclusively for Japanese malts. The whisky in the bottle was selected from casks containing Bowmore Scotch aged 12 - 18 years, finished in the new Mizunara barrels for a few months. It is bottled at cask-strength. "," Islay, Scotland
",https://distiller.com/spirits/bowmore-mizunara-cask-finish,"
Bowmore ",NAS
52.5%,https://ip.distiller.com/images/spirits/d1bfe6c0-5a76-0133-8b8a-121ac42cec7e/port_ellen_1979_32_year_2012_limited_release_tile.jpg?1445958006,Port Ellen 32 Year 1979 (2012 Special Release),"Port Ellen is one of those tragic casualties of the Scotch industry, an Islay distillery fallen on bad times and forced to shutter in 1983. The remaining barrels it left behind have become some of the most sought after of all Scotch. This particular expression is bottled by Diageo as one of their annual Special Releases (2012), initially with 2,964 bottles for sale. It was matured in American oak and refill European oak."," Islay, Scotland
",https://distiller.com/spirits/port-ellen-32-year-1979-2012-special-release,"
Port Ellen ",32 Year
67.3%,https://ip.distiller.com/images/spirits/a2256390-43a3-0133-4f6a-6e49329533a6/william_larue_weller_bourbon_2015_tile.jpg?1443021609,William Larue Weller Bourbon (Fall 2015),"This annual release from Buffalo Trace honors 19th century distiller W.L. Weller, who is credited with being the first to use wheat instead of rye in the mash bill, thus pioneering the ""wheated bourbon"" phenomenon. This edition was distilled in the spring of 2003 and aged on the second and sixth floors of Warehouses I, K and L. At 134.6 proof, this is one of its most potent presentations."," Kentucky, USA
",https://distiller.com/spirits/william-larue-weller-bourbon-fall-2015,"
William Larue Weller ",12 Year
47.7%,https://ip.distiller.com/images/spirits/a2f91f60-7b29-0133-fe8a-4e080c81bb47/the_macallan_m_tile.jpg?1449759411,The Macallan M,"A 6-litre Lalique decanter of this single malt holds the Guinness World Records™ for the “most expensive whisky sold at auction” selling for the equivalent of $628,000 dollars. It took the Macallan’s master whisky maker, Bob Dalgarno, two years to source whiskies dating from 1940 to 1991. This blend contains some of the last whiskies barreled before the distillery ceased production at the onset of World War II and some very rare 1947 peated malts. The distillery briefly used peat due to post-war coal rationing and its relative high costs.   "," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-m,"
The Macallan ",NAS
63.45%,https://ip.distiller.com/images/spirits/acb8dac0-43a6-0133-4f6b-6e49329533a6/thomas_h_handy_sazerac_straight_rye_2015_tile.jpg?1443021464,Thomas H. Handy Sazerac Rye (Fall 2015),"This rye is named for the genius 19th century New Orleans bartender who first used rye in the classic Sazerac cocktail, (previously made with Cognac.) This uncut and unfiltered straight rye is the fraternal twin of the George T. Stagg bourbon, both released at full cask-strength. This edition was distilled in the spring of 2009 and aged on the 4th and 7th floors of Warehouses I, K and M at Buffalo Trace."," Kentucky, USA
",https://distiller.com/spirits/thomas-h-handy-sazerac-rye-fall-2015,"
Thomas H. Handy ",6 Year
43.0%,https://ip.distiller.com/images/spirits/42372d30-4dbf-0132-ff20-4a02559918a4/hibiki-21_tile.jpg?1415972658,Hibiki 21 Year,"Hibiki is the blended whisky brand produced by Suntory. Combining their two single malt whiskies, Hakushu and Yamazaki, with their corn-based grain whisky, Chita, they create something completely their own. Utilizing a mix of American, European, and Japanese wood this aged a minimum of 21 years and bottled at 86 proof. This is being slowly released to a couple of US major markets at the end of 2014 and then further expanding to the rest of the country for 2015 along with their 17 year-old version.
"," Japan
",https://distiller.com/spirits/hibiki-21-year,"
Suntory ",21 Year
47.1%,https://ip.distiller.com/images/spirits/b2c514d0-a8a0-0132-a462-0298fdb44177/balvenie-tun-1509-batch-1_tile.jpg?1425915692,The Balvenie Tun 1509 Batch 1,"To create the first batch of Tun 1509, The Balvenie Malt Master David Stewart hand-selected 42 of the finest casks from the distillery's aged stocks. The liquid is a combination of selected whiskies thatspan over several decades of the distillery's history. 35 of them were matured in traditional American Oak barrels and 7 aged in European oak sherry butts. These were then brought together in Tun 1509 - the vessel in which they rested - and got acquainted before bottling."," Speyside, Scotland
",https://distiller.com/spirits/the-balvenie-tun-1509-batch-1,"
The Balvenie ",NAS
43.0%,https://ip.distiller.com/images/spirits/0755d5c9-c3c7-41e2-9dbe-401070ab6f19/highland_park_18_new_tile.jpg?1394424429,Highland Park 18 Year,"Shudder to think that Highland Park 18 has only been with us since 1997.  What were we drinking instead? With the highest of accolades awarded in the whisky world under their belt, one wonders what is their secret to success.  The selection and creation of the casks has to be part of the recipe.  Using both European and American oak, casks are built to their specifications and sent off to Jerez to be filled with Oloroso Sherry.  Three years later, they get them back and the journey begins."," Islands, Scotland
",https://distiller.com/spirits/highland-park-18,"
Highland Park ",18 Year
64.35%,https://ip.distiller.com/images/spirits/4a705280-9c42-0132-7bd2-46ee4a41af5a/bookes-2015-1-big-man-small-batch_large_tile.jpg?1428005801,"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""","This is the first in a series of limited edition small batch bourbons from Booker's, honoring founding distiller Booker Noe, who is featured in his rocking chair on the label with his dog Dot at his feet. Also called ""Big Man, Small Batch,"" this release is produced by Fred Noe, 7th generation Master Distiller at Beam. It's batched from 7 different Beam rack houses, and like all of the Booker's editions, it is uncut. Even the distiller's literature suggests serving it with ice or cut with water."," Kentucky, USA
",https://distiller.com/spirits/booker-s-bourbon-batch-2015-01,"
Booker's ","7 y, 2 m,16 d "
58.45%,https://ip.distiller.com/images/spirits/96133fd0-b701-0137-c627-0a8f7e82b852/btac_gts_2019_tile.jpg?1568822204,George T. Stagg Bourbon (Fall 2019),"George T. Stagg Bourbon (Fall 2019) is an uncut, unfiltered Kentucky Straight Bourbon Whiskey and is one of the five bottlings in the Buffalo Trace Antique Collection released each fall. Due to many of the barrels having matured on the lower levels of the warehouses, this year's edition is the lowest proof release of Stagg to date. However, it is still a healthy 116.9 proof. "," Kentucky, USA
",https://distiller.com/spirits/george-t-stagg-bourbon-fall-2019,"
George T. Stagg ",NAS
